id,name,owner,capacity,fuel
0,Spurness II,SSE,10.0,Wind
1,Upper Holton Airfield,Temporis Capital,10.0,Wind
2,Wear Point,John Laing Environmental Asset Group,10.0,Wind
3,Westfield 2,Venitent Energy Services,10.0,Wind
4,Wolf Bog,Scottish Power,10.0,Wind
5,Woolley Hill,RES Group,10.0,Wind
6,Bryn Titli,Venitent Energy Services,9.9,Wind
7,Bambers,Ecotricity,9.6,Wind
8,Bears Down,Venitent Energy Services,9.6,Wind
9,Lochelbank,RWE Npower,9.6,Wind
10,Cia Aig,RWE Npower,3.0,Hydro
11,Llangwyryfon,EDF Energy,9.4,Wind
12,Galsworthy,Ecotricity,9.2,Wind
13,Hellrigg,RWE Npower,9.2,Wind
14,Out Newton,E.ON UK,9.1,Wind
15,Bessy Bell 2,SSE,9.0,Wind
16,Bin Mountain,Greencoat Capital,9.0,Wind
17,Lindhurst,RWE Npower,9.0,Wind
18,Taff Ely,Venitent Energy Services,9.0,Wind
19,Airfield Poddington,WPO,8.6,Wind
20,Park Spring,EDF Energy,8.6,Wind
21,Lednock,SSE,3.0,Hydro
22,Beinn Ghlas,Venitent Energy Services,8.4,Wind
23,Ramsey 2,REG WindPower,8.2,Wind
24,Low Spinney,Venitent Energy Services,8.2,Wind
25,Port of Sheerness,Peel Energy,8.2,Wind
26,Sisters,Venitent Energy Services,8.2,Wind
27,Broomhill,EDF Energy,8.0,Wind
28,Craig,Temporis Capital,8.0,Wind
29,Langley,EDF Energy,8.0,Wind
30,Mynydd Brombil,REG WindPower,8.0,Wind
31,Lough Hill,RES Group,7.8,Wind
32,River E,RWE Npower,3.0,Hydro
33,Blackstone Edge,Venitent Energy Services,7.5,Wind
34,Flimby,Engie Power,7.5,Wind
35,Lairg 2,WPO,7.5,Wind
36,Dalby,Ecotricity,7.3,Wind
37,Lendrums Bridge Extension,RES Group,7.3,Wind
38,Potato Pot,WPO,7.2,Wind
39,Roade,EDF Energy,7.2,Wind
40,Rhyd y Groes,E.ON UK,7.0,Wind
41,Royd Moor,E.ON UK,7.0,Wind
42,Alveston,Ecotricity,6.9,Wind
43,Douglas Water,RWE Npower,3.0,Hydro
44,Hill of Fiddes,Venitent Energy Services,6.9,Wind
45,Hillhead of Auquhirie,BayWa R.E,6.9,Wind
46,Newton of Fortrie,WPO,6.9,Wind
47,Strath of Brydock,WPO,6.9,Wind
48,Tedder Hill,Venitent Energy Services,6.9,Wind
49,Eye Airfield,Temporis Capital,6.8,Wind
50,Winscales II,EDF Energy,6.8,Wind
51,Fairfield,EDF Energy,6.5,Wind
52,Lambrigg,Venitent Energy Services,6.5,Wind
53,Boundary Lane,EDF Energy,6.2,Wind
54,Cuaich (plus Comp Set),SSE,2.5,Hydro
55,Dunsland Cross,Temporis Capital,6.2,Wind
56,Acharin,Temporis Capital,6.0,Wind
57,Betty Hill,WPO,6.0,Wind
58,Bristol Port,Ecotricity,6.0,Wind
59,Burnthouse Farm,REG WindPower,6.0,Wind
