id,name,owner,capacity,fuel
0,14 Tullywiggan Road,PAR Renewables,1.0,Biomass
1,289 Finvoy Road,Lightsource Renewable Energy,5.9,Solar
2,30 Acres,Navitas Project,4.965,Solar
3,A C Shropshire (Farm AD),PROjEN,2.5,Biomass
4,A'Chruach,Infinis (formerly Novera Energy),42.6,Wind
5,ABP Ellesmere Abbatoir,ABP Ellesmere,1.1,Biomass
6,AMBLESTON SOLAR PANELS,Arqiva Ltd,6.0,Solar
7,ANP Newport Wind Turbine,Associated British Ports,2.3,Wind
8,Abbey Farm,Anesco,9.0,Solar
9,Abbey Fields Farm,FR Solar Kent PV,5.3,Solar
10,Abbots Ann,British Solar Renewables,7.0,Solar
11,Abbots Ripton,Octopus Investment,24.66717,Solar
12,Abbots Ripton Solar Farm (ext.),Rectory Lane Renewables,3.9,Solar
13,Abbots moor Farm Anaerobic Digester (Farm AD),Ms Catherine Suckley,1.0,Biomass
14,Abergelli,Anesco,7.68222,Solar
15,Aberporth Solar Farm,JBM Solutions,1.5,Solar
16,Aberthaw B,RWE Npower Plc,1586.0,Coal
17,Aberthaw GT,RWE Npower Plc,51.0,Gas
18,Aberthaw Power Station Biomass,RWE npower,35.0,Biomass
19,Abhainn Gleann Nam Fiadh,Green Highland Renewables,2.0,Hydro
20,Achairn,James and Ronald Innes,6.2,Wind
21,Achanalt,Scottish and Southern Energy (SSE),3.0,Hydro
22,Achany,Scottish and Southern Energy (SSE),38.0,Wind
23,Advanced Manufacturing Research Centre,,2.6,Wind
24,Agricultural Land at Trecastle,Suncredit UK/ Vogt solar,4.0,Solar
25,Aigas,Scottish and Southern Energy (SSE),20.0,Hydro
26,Aikengall,Community Wind Power (01928 734544),48.0,Wind
27,Aikengall II  Wester Dod Community Wind Farm,Community Windpower,60.8,Wind
28,Airfield Farm (Podington) (Resubmission),Airvolution Energy,8.6,Wind
29,Airfield Farm PV,P V Farms 01,5.0,Solar
30,Airies Farm,NTR,35.0,Wind
31,Alan Bartlett & Sons Solar,Alan Bartlett & Sons,1.2,Solar
32,Albrighton Solar farm,Big 60 Million,15.8,Solar
33,Albury Landfill,SITA UK,1.5,Waste
34,Aldi - Cardiff,Aldi,1.5,Solar
35,Aldi Distribution Centre,Aldi,1.3,Solar
36,Aldi Distribution Centre - Darlington,Aldi,1.2,Solar
37,Aldi Distribution Centre - Neston,Aldi,1.2,Solar
38,Aller Court Farm Solar Park,NESF (formerly British Solar Renewables),5.0,Solar
39,Allington EFW,Kent Enviropower (FCC Environment),51.0,Waste
40,Allt Cheanna Mhuir Hydro,Green Highland Renewables,1.3,Hydro
41,Allt Dearg Wind Farmers LLP,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),10.8,Wind
42,Allt Fionn - resubmission,Osspower Ltd,2.1,Hydro
43,Allt Garbh hydro,Green Highland Renewables (on behalf of Highland Hydro Services),1.5,Hydro
44,Allt Ladaidh Hydro,Green Highland Renewables,1.3,Hydro
45,Alltwalis,Statkraft Wind UK Ltd,23.0,Wind
46,Alscot,RCMA Stratford,1.6,Biomass
47,Altahullion,B9 Energy / RES,26.0,Wind
48,Altahullion Extension,Renewable Energy Systems (RES) / BP Energy,11.7,Wind
49,Altamuskin,Altamuskin Windfarm (Energia),7.1,Wind
50,Altamuskin Extension,Altamuskin Windfarm (Energia),7.1,Wind
51,Altaveedan Wind Farm,NTR PLC,17.9,Wind
52,Alveston Wind Park,Ecotricity,6.9,Wind
53,Amcor Flexibles,Langley Eco,1.7,Solar
54,An Suidhe,RWE npower,19.3,Wind
55,Andershaw,Statkraft UK,36.3,Wind
56,Andover Solar Farm,The Clark Trustees,5.0,Solar
57,Anthony Estate Solar Farm - resubmission,St Antony 101 PV Park,4.7,Solar
58,Arden Quarry Landfill,Natural Power,3.1,Waste
59,Ardley EfW,Viridor,26.0,Waste
60,Ardley Fields Farm Landfill Site,Haul Waste Limited,1.8,Waste
61,Ardoch and Over Enoch Wind Farm (Ardoch),2020 Renewables/ NTR,7.2,Wind
62,Ardoch and Over Enoch Wind Farm (Over Enoch),2020 Renewables/ NTR,4.3,Wind
63,Ardrossan,Airtricity,24.0,Wind
64,Ardrossan Extension,Airtricity,6.0,Wind
65,Ardtalnaig Hydro Scheme (resubmission),Achomer Energy,2.0,Hydro
66,Ardtornish Estate-Upgrade to existing,Ardtornish Estate,1.5,Hydro
67,Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Associated Energy Projects plc,33.5,Waste
68,Arecleoch,Scottish Power Renewables,120.0,Wind
69,Ark Hill,Green Cat Renewables / Strathmore Estates,6.4,Wind
70,Arkwright Solar Farm,Conergy,8.0,Solar
71,Arla Dairy Site,Olleco and Arla Foods,5.0,Biomass
72,Arlesey Landfill Gas (Extension),Waste Recycling Group,2.3,Waste
73,Arlesey Landfill Site,Waste Recycling Group,1.1,Waste
74,Armistead Wind Farm,Banks Renewables,12.0,Wind
75,Arna Wood Solar,BE Renewables (on behalf of Arna Wood),6.2,Solar
76,Arnish Moor,Arnish Electric Ltd / Farm Energy,3.9,Wind
77,Arpley Landfill Scheme 'A',NOVERA,7.9,Waste
78,Arpley Landfill Scheme 'B',NOVERA,7.9,Waste
79,Artfield Fell,Scottish and Southern Energy (SSE),19.5,Wind
80,Ashby,Primrose Solar,4.954,Solar
81,Ashlawn Farm,,6.8,Solar
82,Askern,Anesco,4.9737,Solar
83,Aspatria,United Photovoltaics,19.0,Solar
84,Aspatria Creamery,First Milk Cheese Company,5.0,Biomass
85,Assel Valley,Falck Renewables,27.6,Wind
86,Astley Solar Farm,Rockfire Capital,5.0,Solar
87,Aston House Solar Farm,Solar century / Magnetar Solar,20.0,Solar
88,Atherstone,Foresight Solar Fund,14.7,Solar
89,Attlebridge Landfill Site,Renewable Power Generation Ltd,1.3,Waste
90,Auchencarroch Landfill,Auchencarroch Energy Ltd / CLP,2.1,Waste
91,Auchencarroch Landfill Extension,Auchencarroch Energy Ltd/CLP,2.0,Waste
92,Auchinderran Wind Farm,Green Cat Renewables,2.4,Wind
93,Auchinlea Landfill Site,Natural Power,2.3,Waste
94,Auchrobert Wind Farm,Falck Renewables,36.0,Wind
95,Austrey House Farm,William Corbett Farms,1.5,Biomass
96,Aveley,Waste Recycling Group,1.2,Waste
97,Aveley Landfill Scheme,Waste Recycling Group,2.1,Waste
98,Avenue Farm,Lightsource Renewable Energy,7.3,Solar
99,Averhill Farm,Lightsource Renewable Energy,5.0,Solar
100,Avondale,Shanks Avondale,4.0,Waste
101,Avonmouth,Avonmouth Biopower,6.5,Biomass
102,Avonmouth Low Carbon Energy Facility - Phase 2,Avonmouth Biopower,6.5,Biomass
103,Avonmouth Port,Bristol Port Authority,6.0,Wind
104,Avonmouth Port - extension,Bristol Port Company,9.0,Wind
105,Avonmouth Port II,Bristol City Council - Energy Management Unit,5.0,Wind
106,Avonmouth Wind Power,Wessex Water Engineering Services,8.2,Wind
107,Ayshford Court Farm,AEE Renewables UK,5.0,Solar
108,B&Q Swindon DC,Kingfisher Scottish Limited Partnership,2.5,Solar
109,BAE Samlesbury Aerodrome,British Aerospace Defence Limited,2.0,Solar
110,BH Energy - Biogas (AD),Blakiston Houston Estate Company,2.1,Biomass
111,BIOSSENCE SOLAR PARK,AGR,4.5,Solar
112,BMW UK Manufacturing Ltd,Free Green Energy,3.0,Solar
113,BROWNIELEYS - 3 WIND TURBINES,Brownieleys Renewables/Muirden Energy,7.5,Wind
114,BV Dairy  (Farm AD),BV Dairy,1.5,Biomass
115,Babergh Home Solar Scheme,Babergh District Council,2.8,Solar
116,Badachro hydro scheme - resubmission,Badachro Hydro Limited,1.5,Hydro
117,Baglan Bay CCGT,MPF Operations Limited,520.0,Gas
118,Baglan Bay OCGT,MPF Operations Limited,32.3,Gas
119,Baglan Bay Solar Farm - Phase 1,St. Modwen Developments,5.0,Solar
120,Bagmoor,Munich Re (previously Wind Prospect),16.0,Wind
121,Baillie,Baillie Windfarm Ltd,52.5,Wind
122,Bake Farm Solar Park,British Solar Renewables,4.99928,Solar
123,Bakers Farm (solar),Quercus Renewable Holding 2,12.0,Solar
124,Balcas Timber Biomass CHP Plant,Balcas Timber,2.5,Biomass
125,Balderton,SPEP,20.3,Biomass
126,Baldovie,Dundee Energy Recycling,8.3,Waste
127,Balhearty Solar,Lark Energy,5.0,Solar
128,Ballinderry Road Solar Phase 1 (Lisburn),Hadstone Energy/Island Green Power,13.5,Solar
129,Ballinderry Road Solar Phase 2 (Lisburn),RAD Energy One/ Island Green Power,7.0,Solar
130,Balls Wood Solar Farm,Due South Energy & SunE Project6 Ltd,8.7,Solar
131,Ballyboley Solar (Carrowdore),Island Green Power,6.0,Solar
132,Ballylumford B,AES,540.0,Gas
133,Ballylumford B OCGT,AES,116.0,Gas
134,Ballylumford C,AES,616.0,Gas
135,Ballymena,White Young Green Planning,4.6,Wind
136,Balmurrie Fell Wind Farm,Scottish Southern Energy,9.1,Wind
137,Bambers,,4.8,Wind
138,Bambers Farm,Ecotricity,9.6,Wind
139,Bankend Rig,INH Brown,14.3,Wind
140,Bann Road (Rasharkin),Elgin Energy,18.0,Solar
141,Bann Road (Tullaghans Road),Greencoat Capital,25.0,Solar
142,Barkip Anaerobic Digestor (Waste AD),Scottish and Southern Energy (SSE) / William Tracey,2.2,Biomass
143,Barkip Landfill Site,William Tracey Ltd,1.2,Waste
144,Barley Wood Farm Lane (Gaston Lane - resubmission),Lightsource Renewable Energy,5.4,Solar
145,Barling Hall Farm,Cory Environmental,2.4,Waste
146,Barlockhart Moor,West Coast Energy,8.2,Wind
147,Barmoor,EDF,12.0,Wind
148,Barn Farm - resubmission,Lightsource Renewable Energy,4.2,Solar
149,Barnby Moor,Lark Energy,4.0,Solar
150,Barns of Ayre Wind Turbines (2),Ayre Energy/Aquatera Ltd,1.8,Wind
151,Barnsley 1.5,SPEP,9.0,Biomass
152,Barr Farm Limited,Lark Energy,1.88496,Solar
153,Barrow,Orsted (formerly Dong Energy),90.0,Wind
154,Barry,,235.0,Gas
155,Barton Close Solar Park,British Solar Renewables,4.61032,Solar
156,Barton Solar Farm,Lightsource Renewable Energy,1.2,Solar
157,Barugh Farm,HB and CH Barker,5.0,Solar
158,Barvills Solar Farm (resubmission),BE Renewables/Barvills Solar Limited,5.0,Solar
159,Basin Bridge Farm,Sun Farming UK,5.0,Solar
160,Basingstoke Sewage Treatment Works,Thames Water Utilities,1.2,Biomass
161,Bassingbourn Solar Farm,Push Energy,14.4,Solar
162,Batsworthy Cross,Blackrock Real Assets,18.45,Wind
163,Battens Farm Solar Park,Battens Farm Solar Park Ltd - James Hartley,11.0,Solar
164,Battlefield EfW,Veolia,8.0,Waste
165,Bay Farm,NextEnergy Solar Fund (NESF),8.1,Solar
166,Beacon Hill,Combined Landfill Projects (CLP) / SITA UK,3.0,Waste
167,Beaford Brook Solar Park,Wessex Solar Energy,5.2,Solar
168,Bears Down,Natural Power,9.6,Wind
169,Beatrice Demonstrator,Talisman Energy,10.0,Wind
170,Beck Burn (resubmission),EDF Energy Renewables,31.0,Wind
171,Beckley Solar Farm,Anesco,1.7,Solar
172,Beckton Gas Pressure Reduction Station,Icon  EEA Holdings & 2OC consortium,19.0,Biomass
173,Beckton STW Biodiesel Power Plant,Balfor Beaty,8.0,Biomass
174,Beckton STW Enhanced Sludge Digestion,Thames Water Utilities,5.8,Waste
175,Beckton Sewage Treatment Works,Thames Water Utilities,2.2,Wind
176,Bedborough,Solstice Renewables Ltd,4.991,Solar
177,Beddingham 'B' Landfill Scheme,Haul Waste Disposal Ltd,7.5,Waste
178,Beechgrove Farm,AEE Renewables,4.0,Solar
179,Beeston Weir Hydro Scheme,H20 Power Limited,1.7,Hydro
180,Beinn Eagagach Hydro,Edradynate,1.1,Hydro
181,Beinn Ghlas,RWE npower,8.4,Wind
182,Beinn Tharsuinn,Midefearn Renewables,29.75,Wind
183,Beinn Tharsuinn Windfarm Project,CRE Energy/ Scottish Power,29.8,Wind
184,Beinn an Tuirc 1,CRE Energy/ Scottish Power,29.7,Wind
185,Beinn an Tuirc 2,Scottish Power Renewables,43.7,Wind
186,Beinneun,Octopus Investments/Blue Energy.,85.0,Wind
