ltable_id,rtable_id,label
756,1658,0
102,954,1
41,696,0
815,489,0
1135,249,0
1135,1569,0
958,1376,0
1139,1345,0
180,1912,0
854,1297,0
1166,1422,0
1147,1739,0
519,912,0
439,1425,0
873,1523,0
698,2462,0
968,2413,0
664,1512,0
933,968,0
729,1657,1
630,1074,0
129,1064,0
281,279,0
106,704,1
1173,700,0
31,1457,1
893,1392,1
1034,544,0
641,1348,0
895,346,1
1140,353,0
844,146,0
875,2123,0
937,701,0
966,1268,0
893,990,0
558,2238,0
117,561,0
413,937,0
137,1069,0
641,956,0
144,715,0
151,555,0
161,1576,0
350,1353,0
166,804,0
89,1376,0
374,2163,0
1099,1864,0
289,2400,0
1014,843,0
1017,1033,0
68,1256,0
922,153,0
370,1314,0
289,561,0
669,298,0
264,2519,0
677,1517,0
422,2240,0
347,1929,0
558,1298,0
427,1877,0
291,2061,0
1074,1279,0
27,2399,0
844,1879,0
1075,2225,0
998,1583,1
896,1143,1
1157,555,0
11,1770,0
88,1929,0
153,704,0
475,2342,0
148,2441,0
74,1148,0
1098,1796,0
347,1363,0
2,1421,0
37,1582,0
37,701,0
470,1576,0
1101,1102,0
126,1025,0
1083,848,1
67,337,0
376,506,0
1054,2320,0
1042,2273,0
842,1848,0
1162,890,0
146,1011,0
171,894,0
843,1674,0
1153,1362,0
51,1058,0
330,2099,0
156,2045,0
1164,427,0
498,1404,0
41,441,0
290,1644,0
1166,2133,0
877,963,0
195,661,0
910,2418,0
201,2217,1
92,804,0
290,522,0
791,1685,0
920,561,0
1173,1796,0
286,789,0
1168,1376,0
143,798,0
824,149,0
882,153,0
337,297,0
364,718,0
1181,1070,0
68,1290,0
674,1377,0
925,499,0
171,1906,0
993,170,0
155,1942,0
297,1758,0
124,1421,0
20,1138,0
1061,654,0
1030,2320,0
886,1300,0
435,2403,0
420,324,1
285,1906,0
1093,1681,0
298,1326,0
1162,1963,0
870,39,0
36,804,0
318,393,0
748,850,0
910,346,0
203,1362,0
298,1740,0
1056,843,0
1099,1183,0
1099,1376,0
393,251,0
762,1746,0
630,1077,0
1151,279,0
1159,85,0
933,2400,0
268,1625,0
1131,2523,0
574,1549,0
1098,2523,0
297,998,0
59,391,0
146,1739,0
272,1863,0
164,2236,0
1067,903,0
146,1069,0
772,988,0
925,2040,0
666,2519,0
1119,841,0
1081,1758,0
1168,1739,0
287,1150,0
2,427,0
88,912,0
871,2480,0
152,52,0
734,2135,0
742,1474,1
166,704,0
34,826,1
1167,370,0
272,599,0
1015,1192,0
530,282,0
257,2402,0
1041,715,0
1056,715,0
886,2406,0
64,1929,0
929,1684,0
348,1289,0
311,1372,0
642,1467,0
426,1468,0
339,751,0
936,1293,0
868,2025,0
323,937,0
7,2517,0
98,1616,1
1146,841,0
1151,1966,0
1131,2320,0
