id,name,owner,capacity,fuel,year
0,,,15.0,Wind,1997
1,,ecoJoule construct GmbH,13.3,Wind,2002
2,,Sendenhorster Windenergie GmbH & Co. KG,15.0,Wind,2003
3,,Windpark Ahlerstedt GmbH & Co. KG,39.6,Wind,1999
4,Ahrensfelde,Lausitz Energie Kraftwerke AG,37.5,Gas,1990
5,Ahrensfelde,Lausitz Energie Kraftwerke AG,37.5,Gas,1990
6,Ahrensfelde,Lausitz Energie Kraftwerke AG,37.5,Gas,1990
7,Ahrensfelde,Lausitz Energie Kraftwerke AG,37.5,Gas,1990
8,,Erste Buergerwindp. Ahrenvioel Ahrenvioelfeld GmbH & Co. KG,15.0,Wind,2002
9,RADAG,Rheinkraftwerk Albbruck-Dogern AG,79.5,Hydro,1934
10,WKW,Rheinkraftwerk Albbruck-Dogern AG,24.0,Hydro,2009
11,Papierfabrik Albbruck,Papierfabrik Albbruck GmbH,28.0,Coal,2009
12,Werkskraftwerk Sappi Alfeld,Sappi Alfeld GmbH,13.0,Biomass,2003
13,Werkskraftwerk Sappi Alfeld,Sappi Alfeld GmbH,11.0,Gas,1947
14,Werkskraftwerk Sappi Alfeld,Sappi Alfeld GmbH,0.1,Hydro,1912
15,Werkskraftwerk Sappi Alfeld,Sappi Alfeld GmbH,2.8,Oil,1994
16,,Windpark Balkum-Thiene GmbH & Co. KG,27.6,Wind,2007
17,Windpark Alsleben,Dortmunder Energie- und Wasserversorgung GmbH,21.0,Wind,2016
18,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,65.0,Gas,1997
19,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,50.0,Gas,1971
20,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,57.0,Gas,1973
21,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,81.0,Gas,1975
22,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,336.0,Coal,1997
23,Heizkraftwerk Altbach/Deizisau,EnBW Energie Baden-Württemberg AG,433.0,Coal,1985
24,HKW Altenstadt,Heizkraftwerk Altenstadt GmbH & Co. KG,9.8,Biomass,1999
25,,,25.7,Wind,2003
26,KW Amlach,TIWAG-Tiroler Wasserkraft AG,60.0,Hydro,1989
27,Kesselhaus Zuckerfabrik,Suiker Unie GmbH & Co. KG,15.1,Gas,1993
28,,Windpark Fehnland GmbH & Co. KG Renditefonds,19.8,Wind,2001
29,Zellstoff Stendal GmbH,Zellstoff Stendal GmbH,138.9,Biomass,2004
