id,name,owner,capacity,fuel,year
0,ADS-Anlage,Infraserv GmbH & Co. Höchst KG,96.5,Gas,2012
1,AHKW Neunkirchen,EEW Energy from Waste Saarbrücken GmbH,11.6,Waste,1999
2,AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,12.6,Waste,1981
3,AVA GmbH,AVA Abfallverwertung Augsburg GmbH,10.0,Waste,1993
4,AVA Velsen,AVA Velsen GmbH,15.8,Waste,1997
5,Abensberg Solar Power Plant,,1.2,Solar,
6,Abfallentsorgungszentrum Asdonkshof,Kreis Weseler Abfallgesellschaft mbH & Co. KG (KWA),20.8,Waste,1997
7,Ahlhorn Solar Power Plant,,50.0,Solar,
8,Ahorn Solar Power Plant,,6.4,Solar,
9,Ahrensfelde,Vattenfall Europe Generation AG,150.0,Gas,1990
10,Aidenbach Solar Power Plant,,1.7,Solar,
11,Albersreuth Solar Power Plant,,3.7,Solar,
12,Alitzheim Solar Power Plant,,8.5,Solar,
13,Allmanshofen Solar Power Plant,,16.7,Solar,
14,Allstedt Solar Power Plant,,19.2,Solar,
15,Altbach power station,Energie Baden-Württemberg,769.0,Coal,1992
16,Altd�bern Solar Power Plant,,1.3,Solar,
17,Altenburg Flugplatz Solar Power Plant,,12.1,Solar,
18,Altenburg Kieswerk Solar Power Plant,,4.4,Solar,
19,Altheim,E.ON Kraftwerke GmbH,17.8,Hydro,1951
20,Althen Solar Power Plant,,7.3,Solar,
21,Alzwerke GmbH,Wacker Chemie AG,45.0,Hydro,1922
22,Ammerland Solar Power Plant,,20.8,Solar,
23,Amrumbank West,,301.32,Wind,2015
24,Angerm�nde Solar Power Plant,,1.7,Solar,
25,Anklam Solar Power Plant,,7.9,Solar,
26,Apfelborn Solar Power Plant,,2.0,Solar,
27,Artern Solar Power Plant,,4.9,Solar,
28,Aschheim Solar Power Plant,,1.0,Solar,
29,Attenkirchen Solar Power Plant,,2.0,Solar,
30,Audorf,E.ON Kraftwerke GmbH,87.0,Oil,1973
31,Aufkirchen,E.ON Kraftwerke GmbH,27.0,Hydro,1924
32,Aufroth Solar Power Plant,,1.4,Solar,
33,BARD Offshore 1,Ocean Breeze Energy GmbH & Co. KG,400.0,Wind,
34,BEG,Bremerhavener Entsorgungsgesellschaft mbH,14.0,Waste,1977
35,BHKW,Daimler AG,13.0,Gas,2013
36,BHKW H.120,Daimler AG,16.9,Gas,2012
37,BHKW Ludwigshafen,MVV Energie AG,12.5,Gas,2008
38,BHKW Obere Viehweide,Stadtwerke Tübingen GmbH,13.4,Gas,2000
39,BHKW an Klinkerweg,Stadtwerke Erkrath GmbH,10.2,Gas,2000
40,BHKW-Hauffstraße,FairEnergie GmbH,9.8,Gas,2011
41,BKF,Mainova AG,12.4,Biomass,2004
42,BMHKW-BinderHolz,BinderHolz Deutschland GmbH,15.1,Biomass,2007
43,BMHKW-RE Recklinghausen,Ã–kotech Ingenieurgesellschaft mbh,14.0,Biomass,2004
44,BMK Lünen,STEAG New Energies GmbH,20.0,Biomass,2006
45,BMKW Bergkamen,RWE Energiedienstleistungen GmbH,17.7,Biomass,2005
46,BMKW Flörsheim Wicker,MVV Energie AG,12.6,Biomass,2003
47,BMKW Königs Wusterhausen,MVV Energie AG,17.1,Biomass,2003
48,BMKW Mannheim,MVV Energie AG,17.9,Biomass,2003
49,BP Werk Lingen,BP Europa SE,66.0,Gas,1996
50,BROKDORF,,1480.0,Nuclear,1986
51,Bachhagel Solar Power Plant,,1.8,Solar,
52,Bad Aibling Solar Power Plant,,2.3,Solar,
53,Bad D�rrheim Solar Power Plant,,1.6,Solar,
54,Bad Endbach Solar Power Plant,,7.3,Solar,
55,Bad Wildungen Solar Power Plant,,1.6,Solar,
56,Baltic 2,,288.0,Wind,2015
57,Bandenitz Solar Power Plant,,6.0,Solar,
58,Barderup Solar Power Plant,,22.8,Solar,
59,Barlt Solar Power Plant,,2.2,Solar,
60,Barth Solar Power Plant,,10.2,Solar,
61,Beerfelden Solar Power Plant,,1.4,Solar,
62,Beilingen Solar Power Plant,,2.1,Solar,
63,Bergheim,Donau-Wasserkraft AG,23.7,Hydro,1970
64,Bergkamen power station,Gemeinschaftskraftwerk Bergkamen A oHG,717.0,Coal,1981
65,Bergrheinfeld - S&Z Solar Power Plant,,2.4,Solar,
66,Berlin-Moabit power station,Vattenfall Europe AG,89.0,Coal,1990
67,Berlin-Reuter power station,Vattenfall Europe AG,124.0,Coal,1969
68,Berlin-Reuter-West power station,Vattenfall Europe AG,564.0,Coal,1988
69,Bernburg Solar Power Plant,,10.0,Solar,
70,Bertoldsheim,Donau-Wasserkraft AG,18.9,Hydro,1967
71,Biederbach Solar Power Plant,,5.6,Solar,
72,Bigge,Lister- und Lennekraftwerke GmbH,15.0,Hydro,1965
73,Bio HKW Herbrechtingen,Biomasse-Heizkraftwerk-Herbrechtingen GmbH,14.0,Biomass,2004
74,BioEnergie Park Klarsee,Geno Bioenergie Leasingfonds Erste GmbH & Co. KG,17.8,Biomass,2006
75,BioHKW I,Fernwärme Ulm GmbH,13.2,Biomass,2003
76,Biomass Generator #10,Klausner Holz Thüringen GmbH,12.9,Biomass,2008
77,Biomass Generator #11,EEW Energy from Waste Stapelfeld GmbH,16.4,Waste,1978
78,Biomass Generator #12,Evonik Industries AG (Werk Worms),11.9,Waste,1990
79,Biomass Generator #13,Evonik Industries AG (Werk Worms),6.9,Waste,2011
80,Biomass Generator #14,Deutsche Natural Gasrußwerke GmbH & Co. KG,16.0,Other,
81,Biomass Generator #15,Biomasseheizkraftwerk Odenwald GmbH,28.4,Biomass,2003
82,Biomass Generator #16,ACR Biokraftwerk Calbe Invest GmbH & Co. KG,10.2,Biomass,1996
83,Biomass Generator #17,Danpower Energie Service GmbH,40.0,Biomass,2004
84,Biomass Generator #19,,20.0,Biomass,2006
85,Biomass Generator #2,Biomasse Heizkraftwerk Herbrechtingen GmbH,15.7,Biomass,2004
86,Biomass Generator #20,Michelin Reifenwerke AG & Co. KGaA Standort Bad Kreuznach,10.7,Gas,2006
87,Biomass Generator #20,Danpower GmbH,12.6,Biomass,2004
88,Biomass Generator #21,,18.3,Biomass,2001
89,Biomass Generator #22,Zellstoff- und Papierfabrik Rosenthal GmbH,53.5,Biomass,1999
90,Biomass Generator #23,Borchers Biomassekraftwerk GmbH,11.4,Biomass,2006
91,Biomass Generator #3,,19.7,Biomass,2002
92,Biomass Generator #4,GHP Glunz  Holzwerkstoffproduktion GmbH,19.9,Biomass,2000
93,Biomass Generator #5,Boehringer Ingelheim Pharma GmbH & Co. KG,12.4,Biomass,2004
94,Biomass Generator #6,Pfeifer Holz GmbH,9.6,Biomass,2007
95,Biomass Generator #7,Hummel Energiesysteme Neuss I,12.1,Biomass,2008
96,Biomass Generator #8,Biomasse HKW Siegerland GmbH & Co.KG,14.0,Biomass,2006
97,Biomass Generator #9,EnBW Klenk Holzenergie GmbH,18.8,Biomass,2000
98,Biomasse-Heizkraftwerk Malchin,envia THERM GmbH,9.8,Biomass,2003
99,Biomasse-Verstromungs-Anlage,Mark-E AG,20.0,Biomass,2004
100,Biomasseheizkraftwerk Piesteritz,Stadtwerke Leipzig GmbH,18.1,Biomass,2009
101,Biomasseheizkraftwerk Wiesbaden,ESWE BioEnergie GmbH,10.5,Waste,2014
